Employee_ID,Department,Job_Level,Location,Gender,Education_Level,Performance_Rating,Monthly_Salary,Hire_Date,Exit_Date,Attrition_Status,Attrition_Type,Tenure_Years,Date_Error_Flag,Tenure_Flag
1,Engineering,Mid,Nairobi,Female,Master,3,6494,1/5/2014,,0,Active,8.339726027,OK,OK
2,Customer Support,Mid,Nairobi,Male,Diploma,4,6494,1/6/2014,,0,Active,8.139726027,OK,OK
3,HR,Junior,Accra,Male,Master,2,6493,1/9/2014,,0,Active,10.26849315,OK,Missing Tenure
4,Operations,Junior,Lagos,Male,Bachelor,2,6490,1/12/2014,,1,Voluntary,,Date Error,OK
5,Sales,Mid,Lagos,Male,Diploma,3,6488,1/15/2014,,0,Active,10.62191781,OK,OK
6,Sales,Mid,Nairobi,Male,PhD,5,6488,1/16/2014,,0,Active,8.539726027,OK,Missing Tenure
7,Sales,Mid,Johannesburg,Female,Bachelor,3,6483,1/16/2014,,1,Voluntary,,Date Error,OK
8,Marketing,Mid,Accra,Male,Diploma,3,6480,1/17/2014,,0,Active,2.37260274,OK,OK
9,Operations,Mid,Nairobi,Female,Bachelor,3,6479,1/23/2014,,0,Active,10.26027397,OK,OK
10,Finance,Senior,Accra,Female,Bachelor,5,6478,1/23/2014,,0,Active,4.643835616,OK,OK
11,Sales,Senior,Lagos,Male,Master,4,6475,1/27/2014,,0,Active,9.736986301,OK,OK
12,Customer Support,Senior,Accra,Male,Master,5,6467,1/28/2014,4/1/2023,1,Voluntary,5.879452055,OK,OK
13,Marketing,Manager,Accra,Male,PhD,1,6463,1/28/2014,12/11/2022,1,Involuntary,5.334246575,OK,OK
14,Sales,Junior,Lagos,Female,Bachelor,2,6462,1/31/2014,12/5/2024,1,Voluntary,2.41369863,OK,OK
15,Sales,Junior,Lagos,Female,Bachelor,3,6446,2/1/2014,1/24/2021,1,Voluntary,6.282191781,OK,OK
16,Sales,Junior,Accra,Male,Master,4,6445,2/5/2014,,0,Active,2.254794521,OK,OK
17,Engineering,Mid,Nairobi,Male,Diploma,3,6443,2/9/2014,7/23/2023,1,Involuntary,7.164383562,OK,Missing Tenure
18,Operations,Manager,Lagos,Female,Bachelor,3,6441,2/12/2014,,1,Voluntary,,Date Error,OK
19,Engineering,Junior,Accra,Male,Bachelor,4,6429,2/15/2014,,0,Active,1.819178082,OK,OK
20,Engineering,Manager,Nairobi,Male,Diploma,2,6429,2/18/2014,,0,Active,2.994520548,OK,OK
21,Finance,Junior,Accra,Female,Bachelor,3,6429,2/21/2014,,0,Active,4.906849315,OK,OK
22,Sales,Manager,Lagos,Female,Master,3,6428,2/28/2014,,0,Active,7.939726027,OK,OK
23,Engineering,Junior,Nairobi,Female,Master,3,6426,2/28/2014,,0,Active,7.682191781,OK,Missing Tenure
24,Engineering,Junior,Accra,Female,Diploma,4,6424,3/3/2014,,1,Voluntary,,Date Error,OK
25,Engineering,Mid,Accra,Female,Diploma,3,6423,3/6/2014,9/19/2016,1,Involuntary,1.495890411,OK,OK
26,HR,Junior,Lagos,Male,Bachelor,3,6416,3/7/2014,,0,Active,3.249315068,OK,OK
27,Sales,Junior,Johannesburg,Female,Master,3,6410,3/9/2014,,0,Active,1.232876712,OK,Missing Tenure
28,Operations,Junior,Lagos,Female,Diploma,3,6406,3/10/2014,,1,Voluntary,,Date Error,OK
29,Operations,Senior,Nairobi,Female,Master,3,6405,3/13/2014,,0,Active,4.073972603,OK,OK
30,Sales,Mid,Lagos,Male,Diploma,3,6392,3/13/2014,,0,Active,3.073972603,OK,OK
31,Operations,Junior,Accra,Male,Bachelor,2,6391,3/19/2014,5/15/2019,1,Involuntary,3.394520548,OK,OK
32,Sales,Mid,Lagos,Male,Bachelor,2,6387,3/20/2014,11/30/2024,1,Involuntary,4.994520548,OK,OK
33,Sales,Senior,Nairobi,Male,Master,3,6387,3/20/2014,3/24/2023,1,Voluntary,2.156164384,OK,OK
34,Customer Support,Junior,Accra,Male,Bachelor,3,6386,3/23/2014,,0,Active,2.326027397,OK,OK
35,Customer Support,Mid,Accra,Female,Bachelor,4,6379,3/25/2014,,0,Active,7.306849315,OK,OK
36,HR,Junior,Accra,Female,Bachelor,4,6377,3/25/2014,6/15/2017,1,Voluntary,2.342465753,OK,OK
37,Engineering,Junior,Lagos,Male,Master,4,6376,3/26/2014,,0,Active,1.736986301,OK,OK
38,Sales,Senior,Johannesburg,Female,Master,3,6376,4/2/2014,,0,Active,6.282191781,OK,OK
